label,num,korean
book,1,책
box,1,박스
carton,2,종이팩
butanespray,3,가스/스프레이
canned,3,통조림
hanger,4,옷걸이
frypan,4,프라이팬
cap,4,병뚜껑
metalstraw,4,스테인리스빨대
glass,5,유리병
plasticstraw,6,플라스틱빨대
tape,6,카세트테이프
shampoobottle,6,샴푸용기
toothpaste,6,치약용기
vinyl,7,비닐
bubble_wrap,7,완충제(뽁뽁이)
styrofoam,8,스티로폼
clothes,9,티셔츠
pants,9,바지
skirt,9,치마
shoes,9,신발
headphone,10,헤드폰
fan,10,선풍기
computer,10,컴퓨터
stroller,11,유모차
sofa,11,소파
suitcase,11,캐리어
banana,12,바나나껍질
orange,12,오렌지껍질
fishbone,12,생선뼈
lightbulb,13,전구
mirror,13,거울
brick,13,벽돌
cups,13,찻잔 및 컵
socket,14,콘센트
groundedcoffee,14,커피찌꺼기
lighter,14,라이터
golfball,14,골프공
eggshell,14,계란껍질
pineapple,14,파인애플껍질
glove,14,고무장갑
leaves,14,낙엽
